,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
389,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,60103345,Chrudim,49.949514,15.798912,27.98456213343045
390,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,60103337,Chrudim,49.950331,15.783494,27.324451330868797
391,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,110020405,Chrudim,49.945584,15.790482,27.255990667282294
392,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,15052591,Chrudim,49.951105,15.780225,27.23946950761159
421,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,110009754,Chrudim,49.95449,15.791908,28.06721090052233
423,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,13582259,Chrudim,49.955997,15.782784,27.77502693919846
425,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,60103361,Chrudim,49.955097,15.792727,28.156589950630174
614,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,61924032,Kutná Hora,49.942588,15.257586,28.293791854722716
615,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,61924041,Čáslav,49.912598,15.392054,19.625451286226657
616,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,61924008,Čáslav,49.908143,15.396187,19.04852899162494
617,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,49797999,Čáslav,49.90249,15.393467,18.625999306209113
618,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,61924059,Kutná Hora,49.953247,15.275817,28.25901621519959
727,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,367761,Humpolec,49.541758,15.35375,27.904787057007567
730,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,107830396,Humpolec,49.541394,15.360692,27.708016731485998
731,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,102006881,Havlíčkův Brod,49.609084,15.580284,17.384101240974196
732,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,102006920,Chotěboř,49.716829,15.672957,11.031055021944667
733,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,130002097,Ledeč nad Sázavou,49.694513,15.278836,20.053882384013416
734,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,102018006,Havlíčkův Brod,49.602624,15.579104,18.076881158824605
735,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,102006954,Chotěboř,49.718219,15.671713,10.880406420209221
753,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,110030559,Havlíčkův Brod,49.609529,15.575103,17.272368490745666
1194,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,60103345,Chrudim,49.949514,15.798912,22.01705049891299
1195,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,60103337,Chrudim,49.950331,15.783494,21.82173652162165
