id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
102007926,Střední škola,C00,Seifertova 33/13,678 01 Blansko,678 01 Blansko,678 01,Blansko,Jihomoravský kraj,7941K41,Gymnázium,10,40,260,Blansko
102007942,Střední škola,C00,Nad Čertovkou 2272/18,678 01 Blansko,678 01 Blansko,678 01,Blansko,Jihomoravský kraj,5341M01,Zdravotnický asistent,10,40,126,Blansko
108028135,Střední škola,C00,Komenského 240,Rájec,679 02 Rájec-Jestřebí,679 02,Rájec-Jestřebí,Jihomoravský kraj,7941K41,Gymnázium,10,40,96,Blansko
107870738,Střední škola,C00,náměstí 9. května 2153/2a,680 11 Boskovice,680 11 Boskovice,680 11,Boskovice,Jihomoravský kraj,1820M01,Informační technologie,10,40,100,Blansko
102104522,Střední škola,C00,Tišnovská 15,679 23 Lomnice,679 23 Lomnice,679 23,Lomnice,Jihomoravský kraj,6542M01,Hotelnictví,10,40,240,Brno-venkov
102007934,Střední škola,C00,Palackého náměstí 222/1,680 11 Boskovice,680 11 Boskovice,680 11,Boskovice,Jihomoravský kraj,7941K41,Gymnázium,10,40,406,Blansko
110250141,Střední škola,C00,Tyršova 500/6,679 61 Letovice,679 61 Letovice,679 61,Letovice,Jihomoravský kraj,2641L01,Mechanik elektrotechnik,10,40,96,Blansko
102007993,Střední škola,C00,Komenského 343/5,680 11 Boskovice,680 11 Boskovice,680 11,Boskovice,Jihomoravský kraj,7531M01,Předškolní a mimoškolní pedagogika,10,40,120,Blansko
110027027,Střední škola,C00,Bezručova 1601/33,678 01 Blansko,678 01 Blansko,678 01,Blansko,Jihomoravský kraj,2345L01,Mechanik seřizovač,10,40,120,Blansko
532525,Střední škola,C00,Barvičova 666/85,Stránice,602 00 Brno,602 00,Brno,Jihomoravský kraj,7941K41,Gymnázium,10,40,375,Brno-město
558974,Střední škola,C00,Elgartova 689/3,Husovice,614 00 Brno,614 00,Brno,Jihomoravský kraj,7941K41,Gymnázium,10,40,360,Brno-město
558982,Střední škola,C00,Vídeňská 55/47,Štýřice,639 00 Brno,639 00,Brno,Jihomoravský kraj,7941K41,Gymnázium,10,40,256,Brno-město
558991,Střední škola,C00,Křenová 304/36,Trnitá,602 00 Brno,602 00,Brno,Jihomoravský kraj,7941K41,Gymnázium,10,40,512,Brno-město
559016,Střední škola,C00,Slovanské náměstí 1804/7,Královo Pole,612 00 Brno,612 00,Brno,Jihomoravský kraj,7941K41,Gymnázium,10,40,630,Brno-město
559032,Střední škola,C00,třída Kpt. Jaroše 1829/14,Černá Pole,658 70 Brno,658 70,Brno,Jihomoravský kraj,7941K41,Gymnázium,10,40,420,Brno-město
566381,Střední škola,C00,Kotlářská 263/9,Veveří,611 53 Brno,611 53,Brno,Jihomoravský kraj,6341M02,Obchodní akademie,10,40,920,Brno-město
