id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
011583771,Střední škola,C00,Brandlova 875/15,Slezské Předměstí,500 03 Hradec Králové,500 03,Hradec Králové,Královéhradecký kraj,7941K41,Gymnázium,10,40,300,Hradec Králové
012996050,Střední škola,C00,Černilovská 7/24,Rusek,500 03 Hradec Králové,500 03,Hradec Králové,Královéhradecký kraj,8241M05,Grafický design,10,40,225,Hradec Králové
011021420,Střední škola,C00,Hradecká 1151/9,500 03 Hradec Králové,500 03 Hradec Králové,500 03,Hradec Králové,Královéhradecký kraj,1820M01,Informační technologie,10,40,300,Hradec Králové
062690035,Střední škola,C00,Pospíšilova 787/11,500 03 Hradec Králové,500 03 Hradec Králové,500 03,Hradec Králové,Královéhradecký kraj,3645M01,Technická zařízení budov,10,40,240,Hradec Králové
062690043,Střední škola,C00,Pospíšilova 324/7,500 03 Hradec Králové,500 03 Hradec Králové,500 03,Hradec Králové,Královéhradecký kraj,7941K61,Gymnázium,10,60,612,Hradec Králové
062690060,Střední škola,C00,Tylovo nábřeží 682/12,500 02 Hradec Králové,500 02 Hradec Králové,500 02,Hradec Králové,Královéhradecký kraj,7941K41,Gymnázium,10,40,640,Hradec Králové
062690221,Střední škola,C00,Komenského 77,504 01 Nový Bydžov,504 01 Nový Bydžov,504 01,Nový Bydžov,Královéhradecký kraj,6341M01,Ekonomika a podnikání,10,40,136,Hradec Králové
000527939,Střední škola,C00,Velká 3/64,Pouchov,503 41 Hradec Králové,503 41,Hradec Králové,Královéhradecký kraj,2953H01,Pekař,10,30,60,Hradec Králové
062690272,Střední škola,C00,Pospíšilova 365/9,500 03 Hradec Králové,500 03 Hradec Králové,500 03,Hradec Králové,Královéhradecký kraj,6341M02,Obchodní akademie,10,40,308,Hradec Králové
110100867,Střední škola,C00,17. listopadu 1202/1,500 03 Hradec Králové,500 03 Hradec Králové,500 03,Hradec Králové,Královéhradecký kraj,3342L51,Nábytkářská a dřevařská výroba,10,20,30,Hradec Králové
000087751,Střední škola,C00,Dr. M. Tyrše 112,504 01 Nový Bydžov,504 01 Nový Bydžov,504 01,Nový Bydžov,Královéhradecký kraj,2343L51,Provozní technika,10,20,36,Hradec Králové
062062883,Střední škola,C00,Československé armády 274/55,500 03 Hradec Králové,500 03 Hradec Králové,500 03,Hradec Králové,Královéhradecký kraj,6341M01,Ekonomika a podnikání,10,40,120,Hradec Králové
044445288,Střední škola,C00,třída SNP 170/32a,Slezské Předměstí,500 03 Hradec Králové,500 03,Hradec Králové,Královéhradecký kraj,6341M02,Obchodní akademie,10,40,120,Hradec Králové
108007863,Střední škola,C00,Pražská třída 68/18,Kukleny,500 04 Hradec Králové,500 04,Hradec Králové,Královéhradecký kraj,4341M01,Veterinářství,10,40,408,Hradec Králové
015062848,Střední škola,C00,Hradební 1029/2,500 03 Hradec Králové,500 03 Hradec Králové,500 03,Hradec Králové,Královéhradecký kraj,1602M01,Průmyslová ekologie,10,40,120,Hradec Králové
000087131,Střední škola,C00,Jiráskova 30,Holínské Předměstí,506 01 Jičín,506 01,Jičín,Královéhradecký kraj,7941K41,Gymnázium,10,40,200,Jičín
000087513,Střední škola,C00,17. listopadu 220,Valdické Předměstí,506 01 Jičín,506 01,Jičín,Královéhradecký kraj,1820M01,Informační technologie,10,40,64,Jičín
000087629,Střední škola,C00,náměstí Hilmarovo 1,507 32 Kopidlno,507 32 Kopidlno,507 32,Kopidlno,Královéhradecký kraj,4143M01,Rybářství,10,40,120,Jičín
000401170,Střední škola,C00,Kumburská 740,509 01 Nová Paka,509 01 Nová Paka,509 01,Nová Paka,Královéhradecký kraj,7531M01,Předškolní a mimoškolní pedagogika,10,40,136,Jičín
000087297,Střední škola,C00,Pod Koželuhy 100,Nové Město,506 01 Jičín,506 01,Jičín,Královéhradecký kraj,1820M01,Informační technologie,10,40,240,Jičín
000087343,Střední škola,C00,Husova 675,508 01 Hořice,508 01 Hořice,508 01,Hořice,Královéhradecký kraj,2142M01,Geotechnika,10,40,60,Jičín
060115645,Střední škola,C00,Na Tobolce 389,Holínské Předměstí,506 01 Jičín,506 01,Jičín,Královéhradecký kraj,6341M01,Ekonomika a podnikání,10,40,136,Jičín
102266239,Střední škola,C00,Hradební 218,550 01 Broumov,550 01 Broumov,550 01,Broumov,Královéhradecký kraj,7941K41,Gymnázium,10,40,124,Náchod
102266247,Střední škola,C00,Řezníčkova 451,547 01 Náchod,547 01 Náchod,547 01,Náchod,Královéhradecký kraj,7941K41,Gymnázium,10,40,248,Náchod
102266255,Střední škola,C00,Lužická 423,Pražské Předměstí,551 01 Jaroměř,551 01,Jaroměř,Královéhradecký kraj,7941K41,Gymnázium,10,40,204,Náchod
107860601,Střední škola,C00,Studničkova 260,Pražské Předměstí,551 01 Jaroměř,551 01,Jaroměř,Královéhradecký kraj,2365H01,Strojník,10,30,36,Náchod
102101531,Střední škola,C00,Kladská 335,547 01 Náchod,547 01 Náchod,547 01,Náchod,Královéhradecký kraj,5341H01,Ošetřovatel,10,30,48,Náchod
108024148,Střední škola,C00,Smiřických 740,547 01 Náchod,547 01 Náchod,547 01,Náchod,Královéhradecký kraj,6542M02,Cestovní ruch,10,40,120,Náchod
