id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
108019578,Střední škola,C00,Koněvova 100,Bohosudov,417 42 Krupka,417 42,Krupka,Liberecký kraj,7941K41,Gymnázium,10,40,100,Teplice
47274719,Střední škola,C00,T. G. Masaryka 580,407 77 Šluknov,407 77 Šluknov,407 77,Šluknov,Liberecký kraj,1601M002,Ochrana přírody a prostředí,10,40,100,Děčín
110017919,Střední škola,C00,Střelecká 1800,407 47 Varnsdorf,407 47 Varnsdorf,407 47,Varnsdorf,Liberecký kraj,7941K81,Gymnázium,10,80,320,Děčín
47274611,Střední škola,C00,Komenského nám. 520/2,Děčín I-Děčín,405 02 Děčín,405 02,Děčín,Liberecký kraj,6341M02,Obchodní akademie,10,40,420,Děčín
497029,Střední škola,C00,Jiříkovská 840/4,Rumburk 1,408 01 Rumburk,408 01,Rumburk,Liberecký kraj,3441M01,Polygrafie,10,40,60,Děčín
47274620,Střední škola,C00,Komenského nám. 340/4,Děčín I-Děčín,405 02 Děčín,405 02,Děčín,Liberecký kraj,7941K41,Gymnázium,10,40,300,Děčín
18383874,Střední škola,C00,Bratislavská 2166,407 47 Varnsdorf,407 47 Varnsdorf,407 47,Varnsdorf,Liberecký kraj,1820M01,Informační technologie,10,40,440,Děčín
47274654,Střední škola,C00,Českolipská 123,Děčín XXVII-Březiny,405 02 Děčín,405 02,Děčín,Liberecký kraj,4141M01,Agropodnikání,10,40,120,Děčín
47274603,Střední škola,C00,Komenského 1130/10,Rumburk 1,408 01 Rumburk,408 01,Rumburk,Liberecký kraj,7941K41,Gymnázium,10,40,210,Děčín
81825,Střední škola,C00,Mostecká 3000,430 01 Chomutov,430 01 Chomutov,430 01,Chomutov,Liberecký kraj,7941K41,Gymnázium,10,40,380,Chomutov
81833,Střední škola,C00,5. května 620,432 01 Kadaň,432 01 Kadaň,432 01,Kadaň,Liberecký kraj,7941K401,Gymnázium - všeobecné,10,40,150,Chomutov
82104,Střední škola,C00,Komenského 562,432 01 Kadaň,432 01 Kadaň,432 01,Kadaň,Liberecký kraj,3645M01,Technická zařízení budov,10,40,120,Chomutov
108030091,Střední škola,C00,Chomutovská 459,431 51 Klášterec nad Ohří,431 51 Klášterec nad Ohří,431 51,Klášterec nad Ohří,Liberecký kraj,7541M01,Sociální činnost,10,40,120,Chomutov
107850079,Střední škola,C00,Pražská 702/10,430 01 Chomutov,430 01 Chomutov,430 01,Chomutov,Liberecký kraj,2345L01,Mechanik seřizovač,10,40,240,Chomutov
82015,Střední škola,C00,Komenského 754/3,Předměstí,412 01 Litoměřice,412 01,Litoměřice,Liberecký kraj,1820M01,Informační technologie,10,40,120,Litoměřice
108043690,Střední škola,C00,Palackého 730/1,Předměstí,412 01 Litoměřice,412 01,Litoměřice,Liberecký kraj,6341M01,Ekonomika a podnikání,10,40,100,Litoměřice
110013204,Střední škola,C00,Máchovy schody 13/4,Litoměřice-Město,412 01 Litoměřice,412 01,Litoměřice,Liberecký kraj,1820M01,Informační technologie,10,40,100,Litoměřice
108043738,Střední škola,C00,Jarošova 494/23,Předměstí,412 01 Litoměřice,412 01,Litoměřice,Liberecký kraj,3356H01,Truhlář,10,30,90,Litoměřice
107850541,Střední škola,C00,Osvoboditelů 1/2,410 02 Lovosice,410 02 Lovosice,410 02,Lovosice,Liberecký kraj,2368H01,Mechanik opravář motorových vozidel,10,30,90,Litoměřice
81876,Střední škola,C00,Svojsíkova 1015/1a,Předměstí,412 01 Litoměřice,412 01,Litoměřice,Liberecký kraj,7941K41,Gymnázium,10,40,305,Litoměřice
81990,Střední škola,C00,Havlíčkova 175,413 01 Roudnice nad Labem,413 01 Roudnice nad Labem,413 01,Roudnice nad Labem,Liberecký kraj,7941K401,Gymnázium - všeobecné,10,40,200,Litoměřice
110035798,Střední škola,C00,Náměstí Jana z Dražic 169,413 01 Roudnice nad Labem,413 01 Roudnice nad Labem,413 01,Roudnice nad Labem,Liberecký kraj,6341M01,Ekonomika a podnikání,10,40,80,Litoměřice
108043720,Střední škola,C00,Dlouhá 205/20,Litoměřice-Město,412 01 Litoměřice,412 01,Litoměřice,Liberecký kraj,6441L51,Podnikání,10,20,225,Litoměřice
130000183,Střední škola,C00,Na Vinici 2244,Předměstí,412 01 Litoměřice,412 01,Litoměřice,Liberecký kraj,29510,Potravinářská výroba,10,30,35,Litoměřice
81884,Střední škola,C00,Sady pionýrů 600/6,410 02 Lovosice,410 02 Lovosice,410 02,Lovosice,Liberecký kraj,7941K401,Gymnázium - všeobecné,10,40,150,Litoměřice
61357235,Střední škola,C00,Poděbradova 661,440 01 Louny,440 01 Louny,440 01,Louny,Liberecký kraj,7941K41,Gymnázium,10,40,125,Louny
61357278,Střední škola,C00,Studentská 1075,438 01 Žatec,438 01 Žatec,438 01,Žatec,Liberecký kraj,7941K41,Gymnázium,10,40,130,Louny
110032829,Střední škola,C00,Hošťálkovo náměstí 132,438 01 Žatec,438 01 Žatec,438 01,Žatec,Liberecký kraj,2951H01,Výrobce potravin,10,30,90,Louny
18380824,Střední škola,C00,Kpt. Jaroše 862,441 01 Podbořany,441 01 Podbořany,441 01,Podbořany,Liberecký kraj,2341M01,Strojírenství,10,40,128,Louny
61357294,Střední škola,C00,Studentská 1354,438 01 Žatec,438 01 Žatec,438 01,Žatec,Liberecký kraj,1601M01,Ekologie a životní prostředí,10,40,120,Louny
45708797,Střední škola,C00,Svatováclavská 1404,438 01 Žatec,438 01 Žatec,438 01,Žatec,Liberecký kraj,3741M01,Provoz a ekonomika dopravy,10,40,80,Louny
108040780,Střední škola,C00,Svatováclavská 1404,438 01 Žatec,438 01 Žatec,438 01,Žatec,Liberecký kraj,1820M01,Informační technologie,10,40,80,Louny
110018061,Střední škola,C00,Ukrajinská 320,Horní Litvínov,436 01 Litvínov,436 01,Litvínov,Liberecký kraj,1601M01,Ekologie a životní prostředí,10,40,176,Most
108006948,Střední škola,C00,Čsl. armády 1530/29,434 01 Most,434 01 Most,434 01,Most,Liberecký kraj,7941K41,Gymnázium,10,40,376,Most
110020707,Střední škola,C00,Studentská 640,Horní Litvínov,436 01 Litvínov,436 01,Litvínov,Liberecký kraj,7941K41,Gymnázium,10,40,170,Most
110018044,Střední škola,C00,Topolová 584,434 01 Most,434 01 Most,434 01,Most,Liberecký kraj,6341M01,Ekonomika a podnikání,10,40,180,Most
110000030,Střední škola,C00,Pionýrů 2806/7,434 01 Most,434 01 Most,434 01,Most,Liberecký kraj,2343L51,Provozní technika,22,30,240,Most
110034147,Střední škola,C00,Okružní 128,435 13 Meziboří,435 13 Meziboří,435 13,Meziboří,Liberecký kraj,1820M01,Informační technologie,10,40,140,Most
108007057,Střední škola,C00,Pionýrů 2806/7,434 01 Most,434 01 Most,434 01,Most,Liberecký kraj,1820M01,Informační technologie,10,40,200,Most
110018052,Střední škola,C00,Sklářská 81,Hamr,435 42 Litvínov,435 42,Litvínov,Liberecký kraj,6341L507,Podnikové hospodaření,22,30,138,Most
108006930,Střední škola,C00,Jana Palacha 711/2,434 01 Most,434 01 Most,434 01,Most,Liberecký kraj,2341M01,Strojírenství,10,40,360,Most
108007014,Střední škola,C00,Eduarda Basse 1142/9,434 01 Most,434 01 Most,434 01,Most,Liberecký kraj,6341M02,Obchodní akademie,10,40,240,Most
108007049,Střední škola,C00,Františka Kmocha 1823,434 01 Most,434 01 Most,434 01,Most,Liberecký kraj,6542M01,Hotelnictví,10,40,250,Most
81922,Střední škola,C00,Čs. dobrovolců 530/11,415 01 Teplice,415 01 Teplice,415 01,Teplice,Liberecký kraj,7941K41,Gymnázium,10,40,590,Teplice
102000654,Střední škola,C00,Bystřická 275/27,Bystřice,417 03 Dubí,417 03,Dubí,Liberecký kraj,7941K801,Gymnázium - všeobecné,10,80,160,Teplice
