id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
103019715,Střední škola,C00,Kollárova 2602/3,796 01 Prostějov,796 01 Prostějov,796 01,Prostějov,Olomoucký kraj,7941K41,Gymnázium,10,40,254,Prostějov
103031642,Střední škola,C00,Palackého 159/18,796 01 Prostějov,796 01 Prostějov,796 01,Prostějov,Olomoucký kraj,6341M004,Obchodní akademie,10,40,270,Prostějov
103019731,Střední škola,C00,Vápenice 2986/1,796 01 Prostějov,796 01 Prostějov,796 01,Prostějov,Olomoucký kraj,3143M001,Oděvnictví,10,40,360,Prostějov
047921838,Střední škola,C00,Rejskova 2987/4,796 01 Prostějov,796 01 Prostějov,796 01,Prostějov,Olomoucký kraj,6341M01,Ekonomika a podnikání,10,40,235,Prostějov
110012216,Střední škola,C00,Studentská 4/2,796 01 Prostějov,796 01 Prostějov,796 01,Prostějov,Olomoucký kraj,7941K41,Gymnázium,10,40,120,Prostějov
000601799,Střední škola,C00,Tomkova 314/45,Hejčín,779 00 Olomouc,779 00,Olomouc,Olomoucký kraj,7941K41,Gymnázium,10,40,376,Olomouc
000848956,Střední škola,C00,Čajkovského 68/9,Nová Ulice,779 00 Olomouc,779 00,Olomouc,Olomoucký kraj,7941K41,Gymnázium,10,40,372,Olomouc
000601781,Střední škola,C00,Jiřího z Poděbrad 936/13,779 00 Olomouc,779 00 Olomouc,779 00,Olomouc,Olomoucký kraj,7941K41,Gymnázium,10,40,705,Olomouc
000601764,Střední škola,C00,Horní náměstí 167/5,785 01 Šternberk,785 01 Šternberk,785 01,Šternberk,Olomoucký kraj,7941K41,Gymnázium,10,40,528,Olomouc
000601756,Střední škola,C00,Gymnazijní 257,783 91 Uničov,783 91 Uničov,783 91,Uničov,Olomoucký kraj,7941K41,Gymnázium,10,40,232,Olomouc
110300572,Střední škola,C00,U Hradiska 157/29,Klášterní Hradisko,779 00 Olomouc,779 00,Olomouc,Olomoucký kraj,2844M01,Aplikovaná chemie,10,40,192,Olomouc
000848794,Střední škola,C00,Opavská 55/8,785 01 Šternberk,785 01 Šternberk,785 01,Šternberk,Olomoucký kraj,1601M01,Ekologie a životní prostředí,10,40,120,Olomouc
000601748,Střední škola,C00,17. listopadu 995/49,779 00 Olomouc,779 00 Olomouc,779 00,Olomouc,Olomoucký kraj,2341M01,Strojírenství,10,40,480,Olomouc
014585235,Střední škola,C00,Pavlovická 16/51,Pavlovičky,772 00 Olomouc,772 00,Olomouc,Olomoucký kraj,6542M010,Služby a cestovní ruch,10,40,200,Olomouc
061942839,Střední škola,C00,Nešverova 693/1,779 00 Olomouc,779 00 Olomouc,779 00,Olomouc,Olomoucký kraj,7941K41,Gymnázium,10,40,220,Olomouc
000601730,Střední škola,C00,Školní 164,783 91 Uničov,783 91 Uničov,783 91,Uničov,Olomoucký kraj,1602M01,Průmyslová ekologie,10,40,120,Olomouc
