id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
048342912,Střední škola,C00,Pivovarská 323,Týnské Předměstí,344 01 Domažlice,344 01,Domažlice,Plzeňský kraj,7941K41,Gymnázium,10,40,132,Domažlice
110026420,Střední škola,C00,Trnkova 125,Staňkov I,345 61 Staňkov,345 61,Staňkov,Plzeňský kraj,3656H01,Kominík,10,30,90,Domažlice
048342939,Střední škola,C00,Erbenova 184,Týnské Předměstí,344 01 Domažlice,344 01,Domažlice,Plzeňský kraj,1820M01,Informační technologie,10,40,110,Domažlice
018230083,Střední škola,C00,Prokopa Velikého 640,Týnské Předměstí,344 01 Domažlice,344 01,Domažlice,Plzeňský kraj,2345L01,Mechanik seřizovač,10,40,180,Domažlice
000076996,Střední škola,C00,Národních mučedníků 347,Klatovy IV,339 01 Klatovy,339 01,Klatovy,Plzeňský kraj,7941K41,Gymnázium,10,40,260,Klatovy
000077143,Střední škola,C00,nábř. Kpt. Nálepky 362,Klatovy III,339 01 Klatovy,339 01,Klatovy,Plzeňský kraj,2341M01,Strojírenství,10,40,120,Klatovy
000077003,Střední škola,C00,F. Procházky 324,Sušice II,342 01 Sušice,342 01,Sušice,Plzeňský kraj,7941K41,Gymnázium,10,40,150,Klatovy
000077232,Střední škola,C00,Plánická 196,Klatovy I,339 01 Klatovy,339 01,Klatovy,Plzeňský kraj,5341M01,Zdravotnický asistent,10,40,180,Klatovy
107840294,Střední škola,C00,Blatenská 313,341 01 Horažďovice,341 01 Horažďovice,341 01,Horažďovice,Plzeňský kraj,2954H01,Cukrář,10,30,72,Klatovy
107840308,Střední škola,C00,U Kapličky 761,Sušice II,342 01 Sušice,342 01,Sušice,Plzeňský kraj,2368H01,Mechanik opravář motorových vozidel,10,30,72,Klatovy
000077313,Střední škola,C00,Národních mučedníků 141,Klatovy IV,339 01 Klatovy,339 01,Klatovy,Plzeňský kraj,1601M01,Ekologie a životní prostředí,10,40,68,Klatovy
049778137,Střední škola,C00,Vejprnická 663/56,Skvrňany,318 00 Plzeň,318 00,Plzeň,Plzeňský kraj,7941K41,Gymnázium,10,40,136,Plzeň-město
000574406,Střední škola,C00,Klatovská třída 2778/200g,Jižní Předměstí,301 00 Plzeň,301 00,Plzeň,Plzeňský kraj,1820M01,Informační technologie,10,40,260,Plzeň-město
049774301,Střední škola,C00,Koterovská 828/85,Lobzy,326 00 Plzeň,326 00,Plzeň,Plzeňský kraj,1820M01,Informační technologie,10,40,600,Plzeň-město
049778099,Střední škola,C00,Petákova 2055/2,Jižní Předměstí,301 00 Plzeň,301 00,Plzeň,Plzeňský kraj,7941K41,Gymnázium,10,40,356,Plzeň-město
049778102,Střední škola,C00,Opavská 823/21,Doubravka,312 00 Plzeň,312 00,Plzeň,Plzeňský kraj,7941K41,Gymnázium,10,40,160,Plzeň-město
049778145,Střední škola,C00,Mikulášské náměstí 808/23,Východní Předměstí,326 00 Plzeň,326 00,Plzeň,Plzeňský kraj,7941K41,Gymnázium,10,40,358,Plzeň-město
064353389,Střední škola,C00,Tylova 988/18,Jižní Předměstí,301 00 Plzeň,301 00,Plzeň,Plzeňský kraj,6842L51,Bezpečnostní služby,24,30,90,Plzeň-město
049778161,Střední škola,C00,náměstí T. G. Masaryka 1530/13,Jižní Předměstí,301 00 Plzeň,301 00,Plzeň,Plzeňský kraj,6341M02,Obchodní akademie,10,40,544,Plzeň-město
000520152,Střední škola,C00,Nerudova 1214/33,Jižní Předměstí,301 00 Plzeň,301 00,Plzeň,Plzeňský kraj,6341M01,Ekonomika a podnikání,10,40,272,Plzeň-město
040527867,Střední škola,C00,Mikulášské náměstí 509/15,Východní Předměstí,326 00 Plzeň,326 00,Plzeň,Plzeňský kraj,7941K41,Gymnázium,22,40,100,Plzeň-město
049775961,Střední škola,C00,Sokolovská 1165/54,Bolevec,323 00 Plzeň,323 00,Plzeň,Plzeňský kraj,7941K41,Gymnázium,10,40,130,Plzeň-město
049776541,Střední škola,C00,Politických vězňů 2003/5,Jižní Předměstí,301 00 Plzeň,301 00,Plzeň,Plzeňský kraj,6341M02,Obchodní akademie,10,40,300,Plzeň-město
110037545,Střední škola,C00,Pod Vinicemi 889/82,Severní Předměstí,301 00 Plzeň,301 00,Plzeň,Plzeňský kraj,8241M01,Užitá malba,10,40,75,Plzeň-město
110034538,Střední škola,C00,Nade Mží 734/1,Skvrňany,318 00 Plzeň,318 00,Plzeň,Plzeňský kraj,6441L51,Podnikání,10,20,40,Plzeň-město
110100204,Střední škola,C00,U Borského parku 1213/3,Jižní Předměstí,301 00 Plzeň,301 00,Plzeň,Plzeňský kraj,2953H01,Pekař,10,30,90,Plzeň-město
000497061,Střední škola,C00,Borská 2718/55,Jižní Předměstí,301 00 Plzeň,301 00,Plzeň,Plzeňský kraj,2351H01,Strojní mechanik,10,30,60,Plzeň-město
049777149,Střední škola,C00,sady 5. května 2395/21,Východní Předměstí,301 00 Plzeň,301 00,Plzeň,Plzeňský kraj,6341M01,Ekonomika a podnikání,10,40,460,Plzeň-město
049778064,Střední škola,C00,Chodské náměstí 1585/2,Jižní Předměstí,301 00 Plzeň,301 00,Plzeň,Plzeňský kraj,3646M01,Geodézie a katastr nemovitostí,10,40,136,Plzeň-město
108005666,Střední škola,C00,Raisova 96,332 02 Starý Plzenec,332 02 Starý Plzenec,332 02,Starý Plzenec,Plzeňský kraj,6341M01,Ekonomika a podnikání,22,50,165,Plzeň-město
108005631,Střední škola,C00,Družstevní 650,336 13 Blovice,336 13 Blovice,336 13,Blovice,Plzeňský kraj,7941K41,Gymnázium,10,40,130,Plzeň-jih
108005640,Střední škola,C00,č.p. 1,335 46 Oselce,335 46 Oselce,335 46,Oselce,Plzeňský kraj,2368H01,Mechanik opravář motorových vozidel,10,30,90,Plzeň-jih
108005623,Střední škola,C00,Táborská 2081/28,Východní Předměstí,326 00 Plzeň,326 00,Plzeň,Plzeňský kraj,1601M01,Ekologie a životní prostředí,10,40,100,Plzeň-město
