id,nazev,typ,adresa1,adresa2,adresa3,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
000638447,Střední škola,C00,Dušní 1083/7,Staré Město,110 00 Praha 1,Praha 1,Hlavní město Praha,1820M01,Informační technologie,10,40,250,Praha 1
061388866,Střední škola,C00,Panská 856/3,Nové Město,110 00 Praha 1,Praha 1,Hlavní město Praha,2645M01,Telekomunikace,10,40,310,Praha 1
000638595,Střední škola,C00,Hellichova 535/22,Malá Strana,118 00 Praha 1,Praha 1,Hlavní město Praha,3441M01,Polygrafie,10,40,180,Praha 1
061388726,Střední škola,C00,Dušní 900/17,Staré Město,110 00 Praha 1,Praha 1,Hlavní město Praha,3647M01,Stavebnictví,10,40,540,Praha 1
061387002,Střední škola,C00,U Půjčovny 1274/9,Nové Město,110 00 Praha 1,Praha 1,Hlavní město Praha,8241M07,Modelářství a návrhářství oděvů,10,40,70,Praha 1
013094394,Střední škola,C00,Pštrossova 203/13,Nové Město,110 00 Praha 1,Praha 1,Hlavní město Praha,7941K41,Gymnázium,10,40,200,Praha 1
000638293,Střední škola,C00,Masná 1000/18,Staré Město,110 00 Praha 1,Praha 1,Hlavní město Praha,2345M01,Dopravní prostředky,10,40,120,Praha 1
000638307,Střední škola,C00,Křemencova 179/12,Nové Město,110 00 Praha 1,Praha 1,Hlavní město Praha,2844M01,Aplikovaná chemie,10,40,420,Praha 1
110032641,Střední škola,C00,Betlémská 287/4,Staré Město,110 00 Praha 1,Praha 1,Hlavní město Praha,1820M01,Informační technologie,10,40,364,Praha 1
060449004,Střední škola,C00,Jindřišská 966/36,Nové Město,110 00 Praha 1,Praha 1,Hlavní město Praha,7941K41,Gymnázium,10,40,136,Praha 1
110001630,Střední škola,C00,Štěpánská 614/22,Nové Město,110 00 Praha 1,Praha 1,Hlavní město Praha,7941K41,Gymnázium,10,40,450,Praha 1
000334677,Střední škola,C00,Botičská 424/1,Nové Město,128 00 Praha 2,Praha 2,Hlavní město Praha,7941K41,Gymnázium,10,40,435,Praha 2
000638552,Střední škola,C00,Vršovická 564/43,Vršovice,101 00 Praha 10,Praha 10,Hlavní město Praha,6542M01,Hotelnictví,10,40,640,Praha 10
000638463,Střední škola,C00,Resslova 1780/8,Nové Město,120 00 Praha 2,Praha 2,Hlavní město Praha,6341M02,Obchodní akademie,10,40,800,Praha 2
000283762,Střední škola,C00,Vinohradská 1971/38,Vinohrady,120 00 Praha 2,Praha 2,Hlavní město Praha,6341M02,Obchodní akademie,10,40,650,Praha 2
000638374,Střední škola,C00,Ječná 517/30,Nové Město,120 00 Praha 2,Praha 2,Hlavní město Praha,1820M01,Informační technologie,10,40,816,Praha 2
000638455,Střední škola,C00,Resslova 1940/5,Nové Město,120 00 Praha 2,Praha 2,Hlavní město Praha,6341M01,Ekonomika a podnikání,10,40,136,Praha 2
045268983,Střední škola,C00,Vinohradská 1971/38,Vinohrady,120 00 Praha 2,Praha 2,Hlavní město Praha,6341M01,Ekonomika a podnikání,10,40,200,Praha 2
000638366,Střední škola,C00,Podskalská 365/10,Nové Město,128 00 Praha 2,Praha 2,Hlavní město Praha,1601M01,Ekologie a životní prostředí,10,40,120,Praha 2
045768561,Střední škola,C00,Ječná 527/33,Nové Město,120 00 Praha 2,Praha 2,Hlavní město Praha,6843M01,Veřejnosprávní činnost,10,40,145,Praha 2
000335410,Střední škola,C00,Sladkovského náměstí 900/8,Žižkov,130 00 Praha 3,Praha 3,Hlavní město Praha,7941K41,Gymnázium,10,40,252,Praha 3
110002008,Střední škola,C00,Kubelíkova 1221/37,Žižkov,130 00 Praha 3,Praha 3,Hlavní město Praha,6341M02,Obchodní akademie,10,40,528,Praha 3
000312835,Střední škola,C00,Žižkovo náměstí 1300/1,Žižkov,130 00 Praha 3,Praha 3,Hlavní město Praha,3342M01,Nábytkářská a dřevařská výroba,10,40,88,Praha 3
000638609,Střední škola,C00,Hollarovo náměstí 2275/2,Vinohrady,130 00 Praha 3,Praha 3,Hlavní město Praha,8241M05,Grafický design,10,40,140,Praha 3
