id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
061664707,Střední škola,C00,Husova 470,256 01 Benešov,256 01 Benešov,256 01,Benešov,Středočeský kraj,7941K41,Gymnázium,10,40,300,Benešov
061664651,Střední škola,C00,Mendelova 131,256 01 Benešov,256 01 Benešov,256 01,Benešov,Středočeský kraj,4141M01,Agropodnikání,10,40,250,Benešov
061664553,Střední škola,C00,Komenského 41,258 01 Vlašim,258 01 Vlašim,258 01,Vlašim,Středočeský kraj,2341M01,Strojírenství,10,40,240,Benešov
061664537,Střední škola,C00,V Sadě 1565,258 01 Vlašim,258 01 Vlašim,258 01,Vlašim,Středočeský kraj,6341M02,Obchodní akademie,10,40,363,Benešov
061664715,Střední škola,C00,Černoleská 1997,256 01 Benešov,256 01 Benešov,256 01,Benešov,Středočeský kraj,5341M01,Zdravotnický asistent,10,40,160,Benešov
107820013,Střední škola,C00,Jana Nohy 1302,256 01 Benešov,256 01 Benešov,256 01,Benešov,Středočeský kraj,3159E01,Šití oděvů,10,30,18,Benešov
061664545,Střední škola,C00,Tylova 271,258 01 Vlašim,258 01 Vlašim,258 01,Vlašim,Středočeský kraj,7941K41,Gymnázium,10,40,272,Benešov
107820340,Střední škola,C00,Zámek 1,258 01 Vlašim,258 01 Vlašim,258 01,Vlašim,Středočeský kraj,2951E01,Potravinářská výroba,10,30,48,Benešov
110450311,Střední škola,C00,Školní 303,257 56 Neveklov,257 56 Neveklov,257 56,Neveklov,Středočeský kraj,6341M01,Ekonomika a podnikání,10,40,80,Benešov
061662356,Střední škola,C00,Humny 338,273 08 Pchery,273 08 Pchery,273 08,Pchery,Středočeský kraj,6542M02,Cestovní ruch,10,40,100,Kladno
047558407,Střední škola,C00,Talichova 824,Beroun-Město,266 01 Beroun,266 01,Beroun,Středočeský kraj,7941K401,Gymnázium - všeobecné,10,40,272,Beroun
047558458,Střední škola,C00,Jiráskova 617/6,268 01 Hořovice,268 01 Hořovice,268 01,Hořovice,Středočeský kraj,7941K401,Gymnázium - všeobecné,10,40,136,Beroun
047558415,Střední škola,C00,U Stadionu 486/2,Beroun-Město,266 01 Beroun,266 01,Beroun,Středočeský kraj,6341M004,Obchodní akademie,10,40,380,Beroun
047558504,Střední škola,C00,Palackého náměstí 100/17,268 01 Hořovice,268 01 Hořovice,268 01,Hořovice,Středočeský kraj,1601M01,Ekologie a životní prostředí,10,40,120,Beroun
000664740,Střední škola,C00,Okružní 1404,Beroun-Město,266 01 Beroun,266 01,Beroun,Středočeský kraj,2351E005,Zámečnické práce ve stavebnictví,10,30,28,Beroun
000069027,Střední škola,C00,Jana Palacha 1840,272 01 Kladno,272 01 Kladno,272 01,Kladno,Středočeský kraj,1820M01,Informační technologie,10,40,120,Kladno
000068781,Střední škola,C00,Smetanovo náměstí 1310,274 01 Slaný,274 01 Slaný,274 01,Slaný,Středočeský kraj,7941K41,Gymnázium,10,40,240,Kladno
000069124,Střední škola,C00,Smetanovo náměstí 1200/1,274 01 Slaný,274 01 Slaný,274 01,Slaný,Středočeský kraj,6341M004,Obchodní akademie,10,40,400,Kladno
043784054,Střední škola,C00,Holandská 2531,Kročehlavy,272 01 Kladno,272 01,Kladno,Středočeský kraj,1820M01,Informační technologie,10,40,120,Kladno
000069019,Střední škola,C00,Cyrila Boudy 2954,272 01 Kladno,272 01 Kladno,272 01,Kladno,Středočeský kraj,3647M01,Stavebnictví,10,40,360,Kladno
000068772,Střední škola,C00,nám. Edvarda Beneše 1573,272 01 Kladno,272 01 Kladno,272 01,Kladno,Středočeský kraj,7941K401,Gymnázium - všeobecné,10,40,382,Kladno
107820102,Střední škola,C00,Jaroslava Šípka 187,273 03 Stochov,273 03 Stochov,273 03,Stochov,Středočeský kraj,2355H01,Klempíř,10,30,72,Kladno
150027265,Střední škola,C00,nám. Edvarda Beneše 2353,272 01 Kladno,272 01 Kladno,272 01,Kladno,Středočeský kraj,3742M01,Logistické a finanční služby,10,40,120,Kladno
