id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
102319936,Střední škola,C00,tř. Spojenců 907,765 02 Otrokovice,765 02 Otrokovice,765 02,Otrokovice,Zlínský kraj,7941K401,Gymnázium - všeobecné,10,40,265,Zlín
108011020,Střední škola,C00,Školní 822,763 21 Slavičín,763 21 Slavičín,763 21,Slavičín,Zlínský kraj,1820M01,Informační technologie,10,40,80,Zlín
102319928,Střední škola,C00,Komenského 60,766 01 Valašské Klobouky,766 01 Valašské Klobouky,766 01,Valašské Klobouky,Zlínský kraj,6341M004,Obchodní akademie,10,40,120,Zlín
102319995,Střední škola,C00,třída Tomáše Bati 4187,760 01 Zlín,760 01 Zlín,760 01,Zlín,Zlínský kraj,2341M001,Strojírenství,10,40,240,Zlín
102319863,Střední škola,C00,Lesní čtvrť III 1364,760 01 Zlín,760 01 Zlín,760 01,Zlín,Zlínský kraj,7941K401,Gymnázium - všeobecné,10,40,400,Zlín
108011119,Střední škola,C00,nám. T. G. Masaryka 2734,760 01 Zlín,760 01 Zlín,760 01,Zlín,Zlínský kraj,7941K41,Gymnázium,10,40,395,Zlín
102319944,Střední škola,C00,nám. T. G. Masaryka 3669,760 01 Zlín,760 01 Zlín,760 01,Zlín,Zlínský kraj,6341M02,Obchodní akademie,10,40,600,Zlín
107870321,Střední škola,C00,Dřevnická 1788,760 01 Zlín,760 01 Zlín,760 01,Zlín,Zlínský kraj,1820M01,Informační technologie,10,40,92,Zlín
107870568,Střední škola,C00,nám. T. G. Masaryka 1279,760 01 Zlín,760 01 Zlín,760 01,Zlín,Zlínský kraj,1820M01,Informační technologie,10,40,140,Zlín
108010848,Střední škola,C00,Tyršova 874,763 12 Vizovice,763 12 Vizovice,763 12,Vizovice,Zlínský kraj,3143M001,Oděvnictví,10,40,120,Zlín
102519943,Střední škola,C00,Masarykovo náměstí 496/13,767 01 Kroměříž,767 01 Kroměříž,767 01,Kroměříž,Zlínský kraj,7941K401,Gymnázium - všeobecné,10,40,240,Kroměříž
102519978,Střední škola,C00,Obvodová 3503/7,767 01 Kroměříž,767 01 Kroměříž,767 01,Kroměříž,Zlínský kraj,1820M01,Informační technologie,10,40,180,Kroměříž
102531099,Střední škola,C00,1. máje 221/10,767 01 Kroměříž,767 01 Kroměříž,767 01,Kroměříž,Zlínský kraj,7531M01,Předškolní a mimoškolní pedagogika,10,40,240,Kroměříž
102142262,Střední škola,C00,Pilařova 3/3,767 01 Kroměříž,767 01 Kroměříž,767 01,Kroměříž,Zlínský kraj,7941K401,Gymnázium - všeobecné,10,40,420,Kroměříž
102519951,Střední škola,C00,Palackého 524/37,769 01 Holešov,769 01 Holešov,769 01,Holešov,Zlínský kraj,7941K401,Gymnázium - všeobecné,10,40,240,Kroměříž
102531064,Střední škola,C00,Holešovská 394,768 61 Bystřice pod Hostýnem,768 61 Bystřice pod Hostýnem,768 61,Bystřice pod Hostýnem,Zlínský kraj,3342M01,Nábytkářská a dřevařská výroba,10,40,80,Kroměříž
102519986,Střední škola,C00,Koperníkova 1429/22,767 01 Kroměříž,767 01 Kroměříž,767 01,Kroměříž,Zlínský kraj,4341M01,Veterinářství,10,40,360,Kroměříž
000559644,Střední škola,C00,Kollárova 617,686 01 Uherské Hradiště,686 01 Uherské Hradiště,686 01,Uherské Hradiště,Zlínský kraj,2341M01,Strojírenství,10,40,270,Uherské Hradiště
060371684,Střední škola,C00,Velehradská třída 218,686 01 Uherské Hradiště,686 01 Uherské Hradiště,686 01,Uherské Hradiště,Zlínský kraj,7941K401,Gymnázium - všeobecné,10,40,510,Uherské Hradiště
060371749,Střední škola,C00,Všehrdova 267,686 01 Uherské Hradiště,686 01 Uherské Hradiště,686 01,Uherské Hradiště,Zlínský kraj,8241M01,Užitá malba,10,40,40,Uherské Hradiště
000838811,Střední škola,C00,Husova 537,687 71 Bojkovice,687 71 Bojkovice,687 71,Bojkovice,Zlínský kraj,7531M01,Předškolní a mimoškolní pedagogika,10,40,118,Uherské Hradiště
047353872,Střední škola,C00,Štěpnická 1188,686 06 Uherské Hradiště,686 06 Uherské Hradiště,686 06,Uherské Hradiště,Zlínský kraj,6341M01,Ekonomika a podnikání,10,40,56,Uherské Hradiště
060371731,Střední škola,C00,Nádražní 22,686 01 Uherské Hradiště,686 01 Uherské Hradiště,686 01,Uherské Hradiště,Zlínský kraj,1820M01,Informační technologie,10,40,150,Uherské Hradiště
060371757,Střední škola,C00,Komenského 169,688 01 Uherský Brod,688 01 Uherský Brod,688 01,Uherský Brod,Zlínský kraj,7941K41,Gymnázium,10,40,300,Uherské Hradiště
014450437,Střední škola,C00,Nivnická 1781,688 01 Uherský Brod,688 01 Uherský Brod,688 01,Uherský Brod,Zlínský kraj,2341M001,Strojírenství,10,40,130,Uherské Hradiště
110500148,Střední škola,C00,Velehradská 1527,686 03 Staré Město,686 03 Staré Město,686 03,Staré Město,Zlínský kraj,1601M01,Ekologie a životní prostředí,10,40,120,Uherské Hradiště
060370009,Střední škola,C00,Osvobození 699,686 04 Kunovice,686 04 Kunovice,686 04,Kunovice,Zlínský kraj,1820M01,Informační technologie,10,40,200,Uherské Hradiště
000843369,Střední škola,C00,Husova 146/2,757 01 Valašské Meziříčí,757 01 Valašské Meziříčí,757 01,Valašské Meziříčí,Zlínský kraj,7941K41,Gymnázium,10,40,335,Vsetín
