Column1;id;nazev;typ;adresa1;adresa2;adresa3;PSC;obec;kraj;obor_kod;obor_nazev;obor_forma;obor_delka;obor_kapacita;okres;kod_okresu_a;kod_okresu_b
0;60076135;Støední škola;C00;Fráni Šrámka 1193/23;Èeské Budìjovice 3;370 01 Èeské Budìjovice;37001;Èeské Budìjovice;Jihoèeskı kraj;7941K401;Gymnázium - všeobecné;10;40;297.0;Èeské Budìjovice;CZ0311;40282
1;60076101;Støední škola;C00;Jírovcova 1788/8;Èeské Budìjovice 3;370 01 Èeské Budìjovice;37001;Èeské Budìjovice;Jihoèeskı kraj;7941K401;Gymnázium - všeobecné;10;40;255.0;Èeské Budìjovice;CZ0311;40282
2;60076062;Støední škola;C00;Èihovice 13;Hnìvkovice na levém bøehu Vltavy;375 01 Tın nad Vltavou;37501;Tın nad Vltavou;Jihoèeskı kraj;7941K401;Gymnázium - všeobecné;10;40;30.0;Èeské Budìjovice;CZ0311;40282
3;62534408;Støední škola;C00;Školní 995;374 01 Trhové Sviny;374 01 Trhové Sviny;37401;Trhové Sviny;Jihoèeskı kraj;7941K401;Gymnázium - všeobecné;10;40;85.0;Èeské Budìjovice;CZ0311;40282
4;60076046;Støední škola;C00;Husova tø. 1849/1;Èeské Budìjovice 3;370 01 Èeské Budìjovice;37001;Èeské Budìjovice;Jihoèeskı kraj;6341M004;Obchodní akademie;10;40;480.0;Èeské Budìjovice;CZ0311;40282
6;666122;Støední škola;C00;Jirsíkova 420/5;Èeské Budìjovice 1;370 01 Èeské Budìjovice;37001;Èeské Budìjovice;Jihoèeskı kraj;7941K41;Gymnázium;10;40;180.0;Èeské Budìjovice;CZ0311;40282
7;45019517;Støední škola;C00;Tøebízského 1010/9;Èeské Budìjovice 5;370 06 Èeské Budìjovice;37006;Èeské Budìjovice;Jihoèeskı kraj;7941K401;Gymnázium - všeobecné;10;40;150.0;Èeské Budìjovice;CZ0311;40282
8;60074302;Støední škola;C00;Praská tø. 2532/54A;Èeské Budìjovice 3;370 04 Èeské Budìjovice;37004;Èeské Budìjovice;Jihoèeskı kraj;7941K401;Gymnázium - všeobecné;10;40;110.0;Èeské Budìjovice;CZ0311;40282
9;60074281;Støední škola;C00;ikova tø. 250/4;Èeské Budìjovice 6;370 01 Èeské Budìjovice;37001;Èeské Budìjovice;Jihoèeskı kraj;1820M01;Informaèní technologie;10;40;100.0;Èeské Budìjovice;CZ0311;40282
10;60075775;Støední škola;C00;Èeská 142/64;Èeské Budìjovice 1;370 01 Èeské Budìjovice;37001;Èeské Budìjovice;Jihoèeskı kraj;7941K401;Gymnázium - všeobecné;10;40;132.0;Èeské Budìjovice;CZ0311;40282
