;id;nazev;typ;adresa1;adresa2;adresa3;PSC;obec;kraj;obor_kod;obor_nazev;obor_forma;obor_delka;obor_kapacita;okres;kod_okresu_a;kod_okresu_b;nazev_ulice;cislo_popisne;Zeměpisná šířka;Zeměpisná délka;kategorie
0;60076135;Střední škola;C00;Fráni Šrámka 1193/23;České Budějovice 3;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;297.0;České Budějovice;CZ0311;40282;Fráni Šrámka;1193/23;48.982194;14.477236;gymnázium
1;60076101;Střední škola;C00;Jírovcova 1788/8;České Budějovice 3;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;255.0;České Budějovice;CZ0311;40282;Jírovcova;1788/8;48.978906;14.477792;gymnázium
2;60076062;Střední škola;C00;Čihovice 13;Hněvkovice na levém břehu Vltavy;375 01 Týn nad Vltavou;37501.0;Týn nad Vltavou;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;30.0;České Budějovice;CZ0311;40282;Čihovice;13;49.211838;14.429222;gymnázium
3;62534408;Střední škola;C00;Školní 995;374 01 Trhové Sviny;374 01 Trhové Sviny;37401.0;Trhové Sviny;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;85.0;České Budějovice;CZ0311;40282;Školní;995;48.844149;14.63412;gymnázium
4;60076046;Střední škola;C00;Husova tř. 1849/1;České Budějovice 3;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;6341M004;Obchodní akademie;10;40;480.0;České Budějovice;CZ0311;40282;Husova tř.;1849/1;48.977823;14.471181;obchodní akademie a veřejnosprávní činnost
5;666122;Střední škola;C00;Jirsíkova 420/5;České Budějovice 1;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;7941K41;Gymnázium;10;40;180.0;České Budějovice;CZ0311;40282;Jirsíkova;420/5;48.973123;14.476519;gymnázium
6;45019517;Střední škola;C00;Třebízského 1010/9;České Budějovice 5;370 06 České Budějovice;37006.0;České Budějovice;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;150.0;České Budějovice;CZ0311;40282;Třebízského;1010/9;48.97308;14.504087;gymnázium
7;60074302;Střední škola;C00;Pražská tř. 2532/54A;České Budějovice 3;370 04 České Budějovice;37004.0;České Budějovice;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;110.0;České Budějovice;CZ0311;40282;Pražská tř.;2532/54A;48.988444;14.474059;gymnázium
8;60074281;Střední škola;C00;Žižkova tř. 250/4;České Budějovice 6;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;1820M01;Informační technologie;10;40;100.0;České Budějovice;CZ0311;40282;Žižkova tř.;250/4;48.972343;14.479578;informační technologie
9;60075775;Střední škola;C00;Česká 142/64;České Budějovice 1;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;132.0;České Budějovice;CZ0311;40282;Česká;142/64;48.974736;14.474285;gymnázium
10;110150309;Střední škola;C00;Rudolfovská tř. 458/92;České Budějovice 4;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;4104M01;Rostlinolékařství;10;40;60.0;České Budějovice;CZ0311;40282;Rudolfovská tř.;458/92;48.979327;14.498438;odborné vzdělání s maturitou
11;60076089;Střední škola;C00;Resslova 1579/2;České Budějovice 3;372 11 České Budějovice;37211.0;České Budějovice;Jihočeský kraj;3646M01;Geodézie a katastr nemovitostí;10;40;90.0;České Budějovice;CZ0311;40282;Resslova;1579/2;48.979144;14.469665;odborné vzdělání s maturitou
12;60075970;Střední škola;C00;Dukelská 260/13;České Budějovice 6;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;2341M001;Strojírenství;10;40;240.0;České Budějovice;CZ0311;40282;Dukelská;260/13;48.969995;14.478504;odborné vzdělání s maturitou
13;583839;Střední škola;C00;Chvalšinská 112;Latrán;381 01 Český Krumlov;38101.0;Český Krumlov;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;130.0;Český Krumlov;CZ0312;40291;Chvalšinská;112;48.817727;14.309368;gymnázium
14;60084286;Střední škola;C00;Tavírna 109;Horní Brána;381 01 Český Krumlov;38101.0;Český Krumlov;Jihočeský kraj;8241M01;Užitá malba;10;40;48.0;Český Krumlov;CZ0312;40291;Tavírna;109;48.806219;14.316864;odborné vzdělání s maturitou
15;41900995;Střední škola;C00;Lannova tř. 1595/29a;České Budějovice 6;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;1820M01;Informační technologie;10;40;174.0;České Budějovice;CZ0311;40282;Lannova tř.;1595/29a;48.974608;14.483061;informační technologie
16;73041;Střední škola;C00;Jáchymova 478;Jindřichův Hradec III;377 01 Jindřichův Hradec;37701.0;Jindřichův Hradec;Jihočeský kraj;1820M01;Informační technologie;10;40;128.0;Jindřichův Hradec;CZ0313;40304;Jáchymova;478;49.139861;15.008285;informační technologie
17;102403554;Střední škola;C00;Husova 333;Jindřichův Hradec II;377 01 Jindřichův Hradec;37701.0;Jindřichův Hradec;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;260.0;Jindřichův Hradec;CZ0313;40304;Husova;333;49.147658;14.999319;gymnázium
18;367753;Střední škola;C00;Na sadech 308;Třeboň II;379 01 Třeboň;37901.0;Třeboň;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;150.0;Jindřichův Hradec;CZ0313;40304;Na sadech;308;49.006403;14.766012;gymnázium
