,idhod,hodnota,ukaz_kod,uzemi_cis,uzemi_kod,sldb_rok,ukaz_txt,uzemi_txt
0,964588472,50866,3162,100,3018,2021,Počet obyvatel s obvyklým pobytem,Hlavní město Praha
1,964592498,68354,3162,100,3026,2021,Počet obyvatel s obvyklým pobytem,Středočeský kraj
2,964591925,30082,3162,100,3034,2021,Počet obyvatel s obvyklým pobytem,Jihočeský kraj
3,964593061,26476,3162,100,3042,2021,Počet obyvatel s obvyklým pobytem,Plzeňský kraj
4,964591360,13508,3162,100,3051,2021,Počet obyvatel s obvyklým pobytem,Karlovarský kraj
5,964594780,40442,3162,100,3069,2021,Počet obyvatel s obvyklým pobytem,Ústecký kraj
6,964597072,20785,3162,100,3077,2021,Počet obyvatel s obvyklým pobytem,Liberecký kraj
7,964594199,25634,3162,100,3085,2021,Počet obyvatel s obvyklým pobytem,Královéhradecký kraj
8,964593625,24395,3162,100,3093,2021,Počet obyvatel s obvyklým pobytem,Pardubický kraj
9,964596494,24108,3162,100,3107,2021,Počet obyvatel s obvyklým pobytem,Kraj Vysočina
10,964595915,53245,3162,100,3115,2021,Počet obyvatel s obvyklým pobytem,Jihomoravský kraj
11,964589636,29198,3162,100,3123,2021,Počet obyvatel s obvyklým pobytem,Olomoucký kraj
12,964589051,26667,3162,100,3131,2021,Počet obyvatel s obvyklým pobytem,Zlínský kraj
13,964590783,56076,3162,100,3140,2021,Počet obyvatel s obvyklým pobytem,Moravskoslezský kraj
