,okres,pocet_obyvatel,kod_okresu_a,kod_okresu_b
0,Benešov,4628,CZ0201,40169
1,Beroun,4485,CZ0202,40177
2,Kladno,7941,CZ0203,40185
3,Kolín,4882,CZ0204,40193
4,Kutná Hora,3332,CZ0205,40207
5,Mělník,5300,CZ0206,40215
6,Mladá Boleslav,5846,CZ0207,40223
7,Nymburk,5138,CZ0208,40231
8,Praha-východ,10182,CZ0209,40240
9,Praha-západ,8582,CZ020A,40258
10,Příbram,5518,CZ020B,40266
11,Rakovník,2520,CZ020C,40274
12,České Budějovice,8985,CZ0311,40282
13,Český Krumlov,3011,CZ0312,40291
14,Jindřichův Hradec,4236,CZ0313,40304
15,Písek,3267,CZ0314,40312
16,Prachatice,2454,CZ0315,40321
17,Strakonice,3350,CZ0316,40339
18,Tábor,4779,CZ0317,40347
19,Domažlice,2736,CZ0321,40355
20,Klatovy,4133,CZ0322,40363
21,Plzeň-město,8017,CZ0323,40371
22,Plzeň-jih,3144,CZ0324,40380
23,Plzeň-sever,3847,CZ0325,40398
24,Rokycany,2160,CZ0326,40401
25,Tachov,2439,CZ0327,40410
26,Cheb,4405,CZ0411,40428
27,Karlovy Vary,5007,CZ0412,40436
28,Sokolov,4096,CZ0413,40444
29,Děčín,6669,CZ0421,40452
30,Chomutov,6090,CZ0422,40461
31,Litoměřice,5774,CZ0423,40479
32,Louny,4223,CZ0424,40487
33,Most,5331,CZ0425,40495
34,Teplice,6303,CZ0426,40509
35,Ústí nad Labem,6052,CZ0427,40517
36,Česká Lípa,4949,CZ0511,40525
37,Jablonec nad Nisou,4223,CZ0512,40533
38,Liberec,8231,CZ0513,40541
39,Semily,3382,CZ0514,40550
40,Hradec Králové,7316,CZ0521,40568
41,Jičín,3665,CZ0522,40576
42,Náchod,5317,CZ0523,40584
43,Rychnov nad Kněžnou,3791,CZ0524,40592
44,Trutnov,5545,CZ0525,40606
45,Chrudim,4980,CZ0531,40614
46,Pardubice,7545,CZ0532,40622
47,Svitavy,5071,CZ0533,40631
48,Ústí nad Orlicí,6799,CZ0534,40649
49,Havlíčkův Brod,4370,CZ0631,40657
50,Jihlava,5309,CZ0632,40665
51,Pelhřimov,3397,CZ0633,40673
52,Třebíč,5226,CZ0634,40681
53,Žďár nad Sázavou,5806,CZ0635,40690
54,Blansko,4901,CZ0641,40703
55,Brno-město,16006,CZ0642,40711
56,Brno-venkov,10755,CZ0643,40720
57,Břeclav,5104,CZ0644,40738
58,Hodonín,6838,CZ0645,40746
59,Vyškov,4174,CZ0646,40754
60,Znojmo,5467,CZ0647,40762
61,Jeseník,1751,CZ0711,40771
62,Olomouc,10841,CZ0712,40789
63,Prostějov,5136,CZ0713,40797
64,Přerov,5946,CZ0714,40801
65,Šumperk,5524,CZ0715,40819
66,Kroměříž,4819,CZ0721,40827
67,Uherské Hradiště,6465,CZ0722,40835
68,Vsetín,6599,CZ0723,40843
69,Zlín,8784,CZ0724,40851
70,Bruntál,4335,CZ0801,40860
71,Frýdek-Místek,10124,CZ0802,40878
72,Karviná,11065,CZ0803,40886
73,Nový Jičín,7231,CZ0804,40894
74,Opava,8492,CZ0805,40908
75,Ostrava-město,14829,CZ0806,40916
76,Praha,50866,CZ0100,40924
