obec,okres
Želechovice nad Dřevnicí,Zlín
Petrov nad Desnou,Šumperk
Libhošť,Nový Jičín
Krhová,Vsetín
Poličná,Vsetín
Bražec,Karlovy Vary
Doupovské Hradiště,Karlovy Vary
Kozlov,Olomouc
Luboměř pod Strážnou,Přerov
Město Libavá,Olomouc
Polná na Šumavě,Český Krumlov
Veřovice,Nový Jičín
Vřesina,Ostrava-město
Olomouc,Olomouc
Bělkovice-Lašťany,Olomouc
Bílá Lhota,Olomouc
Blatec,Olomouc
Bohuňovice,Olomouc
Bouzov,Olomouc
Bystročice,Olomouc
Dlouhá Loučka,Olomouc
Dolany,Olomouc
Drahanovice,Olomouc
Dub nad Moravou,Olomouc
Grygov,Olomouc
Hlubočky,Olomouc
Hněvotín,Olomouc
Hnojice,Olomouc
Horka nad Moravou,Olomouc
Cholina,Olomouc
Jívová,Olomouc
Kožušany-Tážaly,Olomouc
Žitovlice,Nymburk
Litovel,Olomouc
Luká,Olomouc
Lutín,Olomouc
Majetín,Olomouc
Kostelec,Tachov
Libavá,Olomouc
Mladeč,Olomouc
Dřenice,Chrudim
Náklo,Olomouc
Náměšť na Hané,Olomouc
Paseka,Olomouc
Lány,Chrudim
Třibřichy,Chrudim
Dvakačovice,Chrudim
Bítovany,Chrudim
Příkazy,Olomouc
Dolní Bezděkov,Chrudim
Senice na Hané,Olomouc
Červená Hora,Náchod
Slatinice,Olomouc
Březová nad Svitavou,Svitavy
Štěpánov,Olomouc
Šternberk,Olomouc
Šumvald,Olomouc
Těšetice,Olomouc
Troubelice,Olomouc
Tršice,Olomouc
Bělá u Jevíčka,Svitavy
Újezd,Olomouc
Jenčice,Litoměřice
Uničov,Olomouc
Velká Bystřice,Olomouc
Velký Týnec,Olomouc
Velký Újezd,Olomouc
Zápy,Praha-východ
Žerotín,Olomouc
Opava,Opava
Bohuslavice,Opava
Bolatice,Opava
Brumovice,Opava
Březová,Opava
Budišov nad Budišovkou,Opava
Boží Dar,Karlovy Vary
Nové Hamry,Karlovy Vary
Čichalov,Karlovy Vary
Skořice,Rokycany
Otmarov,Brno-venkov
Dolní Benešov,Opava
Dolní Lhota,Ostrava-město
Dvorce,Jihlava
Chvalčov,Kroměříž
Háj ve Slezsku,Opava
Alojzov,Prostějov
Seloutky,Prostějov
Hlučín,Opava
Nýdek,Frýdek-Místek
Hněvošice,Opava
Holasovice,Opava
Pržno,Frýdek-Místek
Komorní Lhotka,Frýdek-Místek
Hrabyně,Opava
Hradec nad Moravicí,Opava
Chuchelná,Opava
Jakartovice,Opava
Janovice,Frýdek-Místek
Košařiska,Frýdek-Místek
Kobeřice,Opava
Milíkov,Frýdek-Místek
Kravaře,Opava
Doňov,Jindřichův Hradec
Pleše,Jindřichův Hradec
Újezdec,Jindřichův Hradec
Višňová,Jindřichův Hradec
Záhoří,Jindřichův Hradec
Peč,Jindřichův Hradec
Březina,Jindřichův Hradec
Ratiboř,Jindřichův Hradec
Litultovice,Opava
Ludgeřovice,Opava
Roseč,Jindřichův Hradec
Markvartovice,Opava
Melč,Opava
Střížovice,Jindřichův Hradec
Kostelní Vydří,Jindřichův Hradec
Mokré Lazce,Opava
Lužnice,Jindřichův Hradec
Záblatí,Jindřichův Hradec
Plavsko,Jindřichův Hradec
Kostelní Radouň,Jindřichův Hradec
Červený Hrádek,Jindřichův Hradec
Dvory nad Lužnicí,Jindřichův Hradec
Cep,Jindřichův Hradec
Arneštovice,Pelhřimov
Bořetín,Pelhřimov
Oldřišov,Opava
Otice,Opava
Předotice,Písek
Píšť,Opava
Pustá Polom,Opava
Křižanov,Písek
Raduň,Opava
Čečelovice,Strakonice
Skřipov,Opava
Slavkov,Opava
Služovice,Opava
Stěbořice,Opava
Sudice,Opava
Šilheřovice,Opava
Štěpánkovice,Opava
Štítina,Opava
Láz,Třebíč
Kojatín,Třebíč
