id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
000601349,Střední škola,C00,Smetanův okruh 19/2,Pod Bezručovým vrchem,794 01 Krnov,794 01,Krnov,Moravskoslezský kraj,7941K41,Gymnázium,10,40,240,Bruntál
000601357,Střední škola,C00,Dukelská 1423/1,792 01 Bruntál,792 01 Bruntál,792 01,Bruntál,Moravskoslezský kraj,7941K41,Gymnázium,10,40,275,Bruntál
108012484,Střední škola,C00,Revoluční 973/54,Pod Bezručovým vrchem,794 01 Krnov,794 01,Krnov,Moravskoslezský kraj,8241M11,Design interiéru,10,40,30,Bruntál
000601292,Střední škola,C00,Jiráskova 841/1a,Pod Bezručovým vrchem,794 01 Krnov,794 01,Krnov,Moravskoslezský kraj,5341M01,Zdravotnický asistent,10,40,170,Bruntál
107880351,Střední škola,C00,Soukenická 2458/21C,Pod Bezručovým vrchem,794 01 Krnov,794 01,Krnov,Moravskoslezský kraj,1820M01,Informační technologie,10,40,128,Bruntál
000601322,Střední škola,C00,Kavalcova 814/1,792 01 Bruntál,792 01 Bruntál,792 01,Bruntál,Moravskoslezský kraj,1820M01,Informační technologie,10,40,240,Bruntál
000846881,Střední škola,C00,Cihelní 410,Frýdek,738 01 Frýdek-Místek,738 01,Frýdek-Místek,Moravskoslezský kraj,6843M01,Veřejnosprávní činnost,10,40,270,Frýdek-Místek
000601403,Střední škola,C00,Nám. T. G. Masaryka 1260,Frýdlant,739 11 Frýdlant nad Ostravicí,739 11,Frýdlant nad Ostravicí,Moravskoslezský kraj,7941K41,Gymnázium,10,40,180,Frýdek-Místek
000601390,Střední škola,C00,Komenského 713 (-),Staré Město,739 61 Třinec,739 61,Třinec,Moravskoslezský kraj,7941K41,Gymnázium,10,40,250,Frýdek-Místek
000601381,Střední škola,C00,28. října 1598,Místek,738 01 Frýdek-Místek,738 01,Frýdek-Místek,Moravskoslezský kraj,1820M01,Informační technologie,10,40,240,Frýdek-Místek
045235708,Střední škola,C00,Československé armády 2502,Místek,738 01 Frýdek-Místek,738 01,Frýdek-Místek,Moravskoslezský kraj,8241M05,Grafický design,10,40,120,Frýdek-Místek
110012291,Střední škola,C00,Beskydská 1140,Lyžbice,739 61 Třinec,739 61,Třinec,Moravskoslezský kraj,1820M01,Informační technologie,10,40,120,Frýdek-Místek
045235686,Střední škola,C00,Československé armády 482,Místek,738 01 Frýdek-Místek,738 01,Frýdek-Místek,Moravskoslezský kraj,6341M01,Ekonomika a podnikání,10,40,220,Frýdek-Místek
049562339,Střední škola,C00,Mjr. Nováka 1455/34,Hrabůvka,700 30 Ostrava,700 30,Ostrava,Moravskoslezský kraj,7941K41,Gymnázium,10,40,160,Ostrava-město
060784024,Střední škola,C00,Pionýrů 2069,Místek,738 01 Frýdek-Místek,738 01,Frýdek-Místek,Moravskoslezský kraj,1820M01,Informační technologie,10,40,240,Frýdek-Místek
060801743,Střední škola,C00,tř. T. G. Masaryka 456,Frýdek,738 01 Frýdek-Místek,738 01,Frýdek-Místek,Moravskoslezský kraj,6843M01,Veřejnosprávní činnost,10,40,116,Frýdek-Místek
060058871,Střední škola,C00,Cihelní 410,Frýdek,738 01 Frýdek-Místek,738 01,Frýdek-Místek,Moravskoslezský kraj,7941K41,Gymnázium,10,40,200,Frýdek-Místek
000601527,Střední škola,C00,Jana Palacha 794,Nový Bohumín,735 81 Bohumín,735 81,Bohumín,Moravskoslezský kraj,7941K41,Gymnázium,10,40,240,Karviná
000601578,Střední škola,C00,Frýdecká 689/30,737 01 Český Těšín,737 01 Český Těšín,737 01,Český Těšín,Moravskoslezský kraj,7941K41,Gymnázium,10,40,528,Karviná
000601543,Střední škola,C00,J. A. Komenského 328/2,Město,736 01 Havířov,736 01,Havířov,Moravskoslezský kraj,7941K41,Gymnázium,10,40,400,Karviná
000601535,Střední škola,C00,Mírová 1442/2,Nové Město,735 06 Karviná,735 06,Karviná,Moravskoslezský kraj,7941K41,Gymnázium,10,40,400,Karviná
000601560,Střední škola,C00,Havlíčkova 213/13,737 01 Český Těšín,737 01 Český Těšín,737 01,Český Těšín,Moravskoslezský kraj,7941K41,Gymnázium,10,40,540,Karviná
