PSC,obec,okres
362 35,Abertamy,Karlovy Vary
542 32,Trutnov,Trutnov
679 04,Adamov,Blansko
286 01,Adamov,Kutná Hora
373 71,Adamov,České Budějovice
790 01,Bělá pod Pradědem,Jeseník
378 33,Nová Bystřice,Jindřichův Hradec
364 52,Verušičky,Karlovy Vary
257 65,Loket,Benešov
342 01,Sušice,Klatovy
389 01,Drahonice,Strakonice
284 01,Malešov,Kutná Hora
463 45,Pěnčín,Liberec
592 57,Rozsochy,Žďár nad Sázavou
563 01,Albrechtice,Ústí nad Orlicí
735 43,Albrechtice,Karviná
517 22,Albrechtice nad Orlicí,Rychnov nad Kněžnou
398 16,Albrechtice nad Vltavou,Písek
463 31,Frýdlant,Liberec
793 51,Břidličná,Bruntál
468 43,Albrechtice v Jizerských horách,Jablonec nad Nisou
742 55,Albrechtičky,Nový Jičín
383 01,Záblatí,Prachatice
350 02,Františkovy Lázně,Cheb
391 33,Jistebnice,Tábor
664 91,Ivančice,Brno-venkov
798 04,Alojzov,Prostějov
468 21,Pěnčín,Jablonec nad Nisou
340 04,Železná Ruda,Klatovy
793 97,Slezské Rudoltice,Bruntál
259 01,Votice,Benešov
339 01,Dolany,Klatovy
463 73,Višňová,Liberec
463 31,Chrastava,Liberec
364 71,Andělská Hora,Karlovy Vary
793 31,Andělská Hora,Bruntál
463 42,Frýdštejn,Jablonec nad Nisou
563 01,Anenská Studánka,Ústí nad Orlicí
357 09,Krajková,Sokolov
342 01,Dlouhá Ves,Klatovy
751 01,Tovačov,Přerov
378 21,Drunče,Jindřichův Hradec
468 44,Josefův Důl,Jablonec nad Nisou
350 02,Vojtanov,Cheb
586 01,Jihlava,Jihlava
394 70,Kamenice nad Lipou,Pelhřimov
711 00,Ostrava,Ostrava-město
696 33,Archlebov,Hodonín
395 01,Arneštovice,Pelhřimov
362 51,Ostrov,Karlovy Vary
588 27,Arnolec,Jihlava
793 51,Huzová,Olomouc
464 01,Bulovka,Liberec
407 14,Arnoltice,Děčín
356 01,Březová,Sokolov
385 01,Vimperk,Prachatice
507 82,Pecka,Jičín
383 01,Křišťanov,Prachatice
257 89,Heřmaničky,Benešov
473 01,Nový Bor,Česká Lípa
543 72,Rudník,Trutnov
793 83,Jindřichov,Bruntál
400 02,Velké Chvojno,Ústí nad Labem
378 33,Nová Bystřice,Jindřichův Hradec
352 01,Aš,Cheb
256 01,Benešov,Benešov
391 55,Vodice,Tábor
256 01,Struhařov,Benešov
541 01,Trutnov,Trutnov
547 01,Náchod,Náchod
756 43,Kelč,Vsetín
340 12,Kbel,Plzeň-jih
675 44,Babice,Třebíč
384 11,Babice,Prachatice
395 01,Buřenice,Pelhřimov
785 01,Babice,Olomouc
353 01,Teplá,Cheb
251 01,Babice,Praha-východ
257 53,Olbramovice,Benešov
503 51,Babice,Hradec Králové
580 01,Okrouhlice,Havlíčkův Brod
345 25,Hostouň,Domažlice
687 03,Babice,Uherské Hradiště
251 67,Řehenice,Benešov
251 68,Řehenice,Benešov
664 01,Babice nad Svitavou,Brno-venkov
